tweet_id,user_name,rt_count,tweet_text,user_created_date,user_initial_follower,user_end_follower,user_initial_fav,user_end_fav,user_state,user_party,user_incumbency,state_tossup,state_twitter_user,state_population,user_fullname,gender,obama_support,type,sm_type,sm_focus,cta_1,cta_2,info_1,info_2,origin_screen_name,origin_created_at,origin_followers,origin_user_created_at,origin_favorites,origin_text,origin_media,age
5.23934E+17,ajforidaho,1,"On @KTVB, @ButchOtter asked me to give some #Boise #schools money to other #Idaho districts. He wants me to do his job for him. I intend to.", Mon Dec 02 18:29:57 +0000 2013 ,1618,1735,75,80,idaho,democrat,Challenger,0,10455,1634464,a.j. balukoff,M,FALSE,Strategic Message,Attack,Image,NA,NA,NA,NA,ajforidaho,Sun Oct 19 20:30:34 +0000 2014,1673,Mon Dec 02 18:29:57 +0000 2013,0,"On @KTVB, @ButchOtter asked me to give some #Boise #schools money to other #Idaho districts. He wants me to do his job for him. I intend to.",NULL,321.0837616
5.23971E+17,brownformd,59,Wow â€°Ã›Ã’ This is #momentum. Thanks President @BarackObama for joining our #BrownUlman Brigade. http://t.co/Z96dAyPUxB, Wed Apr 24 21:06:33 +0000 2013 ,3156,3588,2,5,maryland,democrat,Challenger,1,30628,5976407,anthony brown,M,TRUE,Strategic Message,Advocacy,Image,NA,NA,NA,NA,brownformd,Sun Oct 19 22:55:49 +0000 2014,3329,Wed Apr 24 21:06:33 +0000 2013,0,Wow â€“ This is #momentum. Thanks President @BarackObama for joining our #BrownUlman Brigade. http://t.co/Z96dAyPUxB,photo,543.0758796
5.23971E+17,mufihannemann,0,"No negative campaigning, just good ideas...http://t.co/CwNvo9h09O http://t.co/U8ymIxaxpy", Thu Mar 12 01:12:07 +0000 2009 ,499711,498514,21,22,hawaii,independent,Challenger,0,49668,1419561,mufi hannemann,M,TRUE,Strategic Message,Advocacy,Image,NA,NA,NA,NA,mufihannemann,Sun Oct 19 22:57:35 +0000 2014,499505,Thu Mar 12 01:12:07 +0000 2009,0,"No negative campaigning, just good ideas...http://t.co/CwNvo9h09O http://t.co/U8ymIxaxpy",photo,2047.906574
5.23976E+17,carter4governor,41,Gov. Deal likes to talk about leadership experience but he won't take responsibility for his record. #ChangeTheDeal http://t.co/ONxRdMS6fs, Tue Nov 05 21:59:18 +0000 2013 ,7585,9316,343,432,georgia,democrat,Challenger,1,65720,10097343,jason carter,M,FALSE,Strategic Message,Attack,Image,NA,NA,NA,NA,carter4governor,Sun Oct 19 23:15:23 +0000 2014,8167,Tue Nov 05 21:59:18 +0000 2013,0,Gov. Deal likes to talk about leadership experience but he won't take responsibility for his record. #ChangeTheDeal http://t.co/ONxRdMS6fs,photo,348.0528356
5.23977E+17,carter4governor,24,"FACT: Georgia lost 15,000 private sector jobs last month. https://t.co/WsBZeqIQ6B #ChangeTheDeal #gapol", Tue Nov 05 21:59:18 +0000 2013 ,7585,9316,343,432,georgia,democrat,Challenger,1,65720,10097343,jason carter,M,FALSE,Strategic Message,Attack,Issue,NA,NA,NA,NA,carter4governor,Sun Oct 19 23:18:47 +0000 2014,8169,Tue Nov 05 21:59:18 +0000 2013,0,"FACT: Georgia lost 15,000 private sector jobs last month. https://t.co/WsBZeqIQ6B #ChangeTheDeal #gapol",NULL,348.0551968
5.23979E+17,carter4governor,27,FACT: Gov. Deal made millions from a corporation that owes GA $74 million in back taxes. WATCH:https://t.co/nQG94G5jIM #ChangeTheDeal #gapol, Tue Nov 05 21:59:18 +0000 2013 ,7585,9316,343,432,georgia,democrat,Challenger,1,65720,10097343,jason carter,M,FALSE,Strategic Message,Attack,Issue,NA,NA,NA,NA,carter4governor,Sun Oct 19 23:27:00 +0000 2014,8175,Tue Nov 05 21:59:18 +0000 2013,0,FACT: Gov. Deal made millions from a corporation that owes GA $74 million in back taxes. WATCH:https://t.co/nQG94G5jIM #ChangeTheDeal #gapol,NULL,348.0609028
5.23982E+17,ajforidaho,3,The cost of higher #education keeps getting further out of reach for many young #Idahoans. http://t.co/XpBsCBcnar #idpol #idelex #idleg, Mon Dec 02 18:29:57 +0000 2013 ,1618,1735,75,80,idaho,democrat,Challenger,0,10455,1634464,a.j. balukoff,M,FALSE,Strategic Message,Advocacy,Issue,NA,NA,NA,NA,ajforidaho,Sun Oct 19 23:40:18 +0000 2014,1672,Mon Dec 02 18:29:57 +0000 2013,0,The cost of higher #education keeps getting further out of reach for many young #Idahoans. http://t.co/XpBsCBcnar #idpol #idelex #idleg,NULL,321.2155208
5.23983E+17,carter4governor,29,"FACT: Georgia has 9,000 fewer teachers today as a result of Gov. Deal's cuts to education. #ChangeTheDeal #gapol http://t.co/KM4dtFMQEO", Tue Nov 05 21:59:18 +0000 2013 ,7585,9316,343,432,georgia,democrat,Challenger,1,65720,10097343,jason carter,M,FALSE,Strategic Message,Attack,Issue,NA,NA,NA,NA,carter4governor,Sun Oct 19 23:43:39 +0000 2014,8183,Tue Nov 05 21:59:18 +0000 2013,0,"FACT: Georgia has 9,000 fewer teachers today as a result of Gov. Deal's cuts to education. #ChangeTheDeal #gapol http://t.co/KM4dtFMQEO",photo,348.0724653
5.23984E+17,carter4governor,143,Georgia has the highest unemployment rate in the nation. @NathanDeal says no one really cares about that. #gapol http://t.co/nrLmKJ2b61, Tue Nov 05 21:59:18 +0000 2013 ,7585,9316,343,432,georgia,democrat,Challenger,1,65720,10097343,jason carter,M,FALSE,Strategic Message,Attack,Image,NA,NA,NA,NA,carter4governor,Sun Oct 19 23:48:10 +0000 2014,8187,Tue Nov 05 21:59:18 +0000 2013,0,Georgia has the highest unemployment rate in the nation. @NathanDeal says no one really cares about that. #gapol http://t.co/nrLmKJ2b61,NULL,348.0756019
5.23987E+17,scottforflorida,15,"Let the facts speak, @CharlieCrist. https://t.co/uYTPrElsVd #sayfie", Fri May 27 20:03:02 +0000 2011 ,11955,12900,0,0,florida,republican,Incumbent,1,103447,19893297,rick scott,M,TRUE,Strategic Message,Attack,Image,NA,NA,NA,NA,scottforflorida,Sun Oct 19 23:59:00 +0000 2014,12309,Fri May 27 20:03:02 +0000 2011,0,"Let the facts speak, @CharlieCrist. https://t.co/uYTPrElsVd #sayfie",NULL,1241.163866
5.23993E+17,quinnforil,2,"""It is important that we re-elect Governor Pat Quinn and send him back to Springfield."" â€°Ã›Ã“State Sen. Iris Martinez #TeamQuinn #FiredUp", Mon Sep 14 19:47:48 +0000 2009 ,2858,3210,85,96,illinois,democrat,Incumbent,1,71550,12880580,pat quinn,M,TRUE,Strategic Message,Advocacy,Image,NA,NA,NA,NA,quinnforil,Mon Oct 20 00:24:23 +0000 2014,3017,Mon Sep 14 19:47:48 +0000 2009,0,"""It is important that we re-elect Governor Pat Quinn and send him back to Springfield."" â€”State Sen. Iris Martinez #TeamQuinn #FiredUp",NULL,1861.192072
5.24E+17,neelkashkari,0,RT @michaelhenry123: Obama supporters ran ads accusing Mitt of killing a woman with cancer &amp; Ryan throwing a women off cliff. please spare â€°Ã›_, Wed Jan 30 23:41:27 +0000 2013 ,6298,6470,287,383,california,republican,Challenger,0,272223,38802500,neel kashkari,M,TRUE,Strategic Message,Attack,Image,NA,NA,NA,NA,neelkashkari,Mon Oct 20 00:52:17 +0000 2014,6400,Wed Jan 30 23:41:27 +0000 2013,0,RT @michaelhenry123: Obama supporters ran ads accusing Mitt of killing a woman with cancer &amp; Ryan throwing a women off cliff. please spare â€_,NULL,627.0491898
5.24005E+17,wendydavistexas,60,"I believe that the education of Texas children is the key not just to their future, but to all of ours. #MyTexasVotes", Tue Aug 16 02:09:37 +0000 2011 ,176667,175963,99,107,texas,democrat,Challenger,0,135654,26956958,wendy davis,F,FALSE,Strategic Message,Advocacy,Issue,NA,NA,NA,NA,wendydavistexas,Mon Oct 20 01:11:02 +0000 2014,177375,Tue Aug 16 02:09:37 +0000 2011,0,"I believe that the education of Texas children is the key not just to their future, but to all of ours. #MyTexasVotes",NULL,1160.959317
5.24006E+17,pauldavisks,22,Report: Kansas education cuts among the largest in the nation: http://t.co/n70hY1dETJ #ksleg #ksgov #ksed @govsambrownback #failedexperiment, Thu Sep 01 14:47:26 +0000 2011 ,5296,5777,49,57,kansas,democrat,Challenger,1,12337,2904021,paul davis,M,FALSE,Strategic Message,Attack,Issue,NA,NA,NA,NA,pauldavisks,Mon Oct 20 01:14:33 +0000 2014,5564,Thu Sep 01 14:47:26 +0000 2011,0,Report: Kansas education cuts among the largest in the nation: http://t.co/n70hY1dETJ #ksleg #ksgov #ksed @govsambrownback #failedexperiment,NULL,1144.435498
